generation,max,mean,std,min
0,995.0254406795166,986.5855030213148,5.285783121921244,969.2215028444938
1,997.866326609014,988.0976364789578,4.829218519459448,975.1577161693394
2,996.7640392165656,988.0077433432682,4.70884407113703,975.5581817069667
3,996.2721046708446,987.7493312827949,5.6451156261311475,971.0153404942548
4,998.6653818076575,988.1907796578371,4.797759774464486,977.7433077762196
5,996.8287142486419,988.4704782790614,5.049717481238624,974.7251274157701
6,999.1248576250842,989.7632547288958,4.486663567177524,979.2425491734923
7,999.2618287682765,989.1931472713445,4.301143524218816,978.5462907497174
8,999.5143235725209,989.7456970699527,5.0623397482034855,971.3602558435463
9,997.4402488766891,991.3351260605631,3.5576136443452766,984.6813337824562
10,999.129010178257,989.2739788225128,4.639737573673277,977.9085479446383
11,997.3001923698091,989.3169380075266,4.3686119340081895,974.2666332811752
12,997.32235311637,989.4344307603101,4.522975120068424,976.8552188181541
13,999.0228845655844,989.2046013571623,5.004103650450406,976.1085244017793
14,997.4086390238663,989.2347594431252,3.8496213741318246,981.0813941572502
15,999.4407163815076,989.2832760227483,4.590777537160045,976.7747252594252
16,998.5789295032425,988.1887132041618,5.498094978726339,972.3671636866695
17,998.864230137584,989.2401967618607,5.040198267325996,973.6313098219749
18,998.7104071148633,989.6190183842546,4.90561380431203,979.667959132852
19,999.3500117671858,989.6552558515011,3.78725691878847,981.7219675251484
20,995.8251776784033,989.4240235121439,3.3667067259781733,977.4435801767047
21,997.3734052532618,988.1448460238734,5.225072309262887,975.6226182674611
22,996.0940819535793,989.1885753844643,5.098954690369739,973.9744752077828
23,995.3211657516644,988.484293550753,4.460553892854974,976.6890675720842
24,998.565579157748,988.7993121533196,4.796533406380792,978.3742686839611
25,997.8519328779126,988.7287393601712,4.226393255514591,976.0991556774612
26,998.7758513384533,990.1197696432288,4.83049687041574,978.2557704002832
27,996.8023668747883,989.2860681863008,4.953093082266202,974.8030278756363
28,995.9129165341174,990.1842107476966,3.641148848480154,982.6521403107381
29,997.0294553159686,990.3568743118382,3.779039186455729,979.4212987089652
30,998.2986113034216,990.6297779621508,4.0342785702761255,980.883225369661
31,997.1288290275827,989.8409006376169,4.07496488566271,981.2680040719567
32,1000.1438312389704,990.9663876478083,4.179647040604975,978.2655307536686
33,997.6450278199133,989.5298061600271,4.166894816345563,981.1823001767762
34,997.9982802229955,989.768262919619,4.578418595228379,976.9788674597141
35,998.4655146917055,990.5705873793356,4.238779396582505,980.2391522426394
36,998.370611559408,989.7339735608974,4.143111167705828,977.7764609790951
37,997.7216827961889,990.3135311207491,4.445674498023388,980.170022746941
38,997.5501425575336,990.3526013071962,4.043325084767681,983.5603925509334
39,1000.5105850672886,990.7300798646195,3.794618829905497,982.5117886388391
40,998.055820300295,990.9173398638803,4.143907699190639,981.3646965065839
41,997.934974707895,989.729460531145,4.270344349823934,976.4438144829477
42,998.0753352068666,990.6721492390872,3.8417948327966633,979.1658134568685
43,997.4566572550411,990.4972513826355,3.710205991681085,978.323647030048
44,997.1563189006241,990.7486500284791,3.7136742817066226,981.5381824961996
45,997.4534272830779,990.1402336721308,3.7256274280935013,980.7103565399351
46,999.2892595242769,991.0379310351716,4.273206627320194,982.0346170400919
47,999.2905697495271,991.0193140705031,4.0343229373933935,981.1243900346979
48,998.3006717377117,989.8769682712044,4.492964875089845,978.0543330013401
49,996.0309062560194,989.9268532066015,3.64017720009437,980.7710741310644
50,998.4900323180096,991.8020433347298,3.3282559201194775,984.7893125142284
51,998.2086330229953,991.3084864776824,3.109288930743526,984.3389740970154
52,997.2968958368941,990.6824887447053,3.6818889754025284,981.9571908114282
53,997.3669178610844,990.3887606241378,3.2180358708665717,982.2226109067476
54,996.9015565442685,990.5646351597896,3.4456483755597365,981.5305403572447
55,997.5134338513087,990.8124518131175,3.701548096280844,983.1518825721565
56,998.8277143112558,990.702930829087,3.5845434989901896,983.747456163737
57,998.2165321024961,991.5495082319177,3.62962889273044,979.9648439874114
58,998.6412121925817,991.1468307000825,3.87435849290839,980.4653291266092
59,999.2075008001884,990.8428794850853,4.137932726203307,979.0648493963226
60,998.5451692770417,990.4178537131831,4.228994262424817,980.0105468769558
61,998.0241474087252,990.882121367832,3.4790725314195328,980.3260201559842
62,1002.0060196546862,990.7833680766515,4.615870434339454,977.4359417959653
63,997.9723410255978,991.0913472442952,3.869976739539753,981.5129033543633
64,997.6080032267406,990.6237418640588,3.9148489847259755,979.246904463162
65,999.1238739297972,990.356280143121,4.73094553842981,979.3621324050824
66,998.5740145196949,991.2199944903291,3.83097361558301,981.0612052228144
67,998.3590546367368,991.2043733681587,3.6378280651387422,981.4103968657233
68,996.4072733312807,990.4436370036487,3.7895055699145757,978.2872663575168
69,999.3492564053493,990.5755521692539,3.6888674282684857,982.0367122936989
70,997.9930643657892,990.5264158212923,4.600364702942031,981.1315466359811
71,998.9901434800215,991.5290486088146,4.753378669511673,973.8714922413365
72,998.1138779422843,990.9145861931145,4.160785772013046,983.3344189179263
73,997.8234407610711,991.5617651700903,3.1585217013324147,981.4404792927583
74,998.2156389150134,991.1442084964624,2.901744006215507,984.4469127986958
75,999.8941608497546,991.7928940376719,4.222941374008616,979.161526176418
76,996.6012949524393,990.7954827967484,3.7813128505968168,980.8524891972523
77,1000.4714294312553,990.6469580183854,3.9537000192933185,980.7798498168735
78,999.4766584048355,990.2246451593373,4.346544982219595,976.7218046801585
79,999.3546284127684,990.8197259009983,4.469685128783233,977.4013481153537
80,1004.2706514624351,991.7987467792459,4.074438437869084,980.7253260436128
81,1002.7951702239316,989.8419924308389,3.7496264000696855,982.0420760241375
82,998.5148363994452,991.4847281387752,4.071802379606548,977.6397424025347
83,998.4881529709088,990.7091819243672,4.545530650838111,979.3529479113182
84,1003.2966745771652,991.741219517889,3.9853425613156097,982.9651480668257
85,1002.228862573443,992.3306662824393,3.5327414760889573,982.943672764474
86,1008.2130380910346,990.9144945201256,4.961732843035462,975.6511916673264
87,999.6373033699189,990.8928467407724,3.412982155406173,982.7146099658119
88,998.4433676175806,990.9989160957474,4.382475024074125,976.1105464311992
89,1000.1368274257622,990.5900491017192,4.9700957388627085,980.1063728528454
90,997.5759581974484,991.0583685177799,3.827218515054547,981.518447228432
91,997.7998849385738,991.2480128950883,4.25919975801132,978.7922115903882
92,999.0066552008839,990.9965148544084,4.151557032344436,979.7105128639544
93,997.2414839537456,990.6186791669082,4.477555994705843,974.0376016285051
94,1000.4760972480693,990.4549960214488,4.659948595239092,977.1186107093605
95,1004.645383127413,991.1454949862679,4.95058288136789,977.5560920617036
96,999.1427542254016,990.4061646257329,4.221396533501468,977.0025682235234
97,1002.2012917509061,990.9615172048593,4.814948298684963,980.1158594830846
98,1005.5372494732752,992.489127649683,4.726270044911143,979.482157023596
99,1001.9131727741172,991.4664816990331,5.7638541148451665,966.8926360822268
100,1008.4842737926738,991.0382442939492,5.385855999625062,978.34090575015
101,1010.2623676098174,992.0041997084543,5.140994045776011,974.757994580655
102,1014.1553541800664,990.3897708735791,5.558376194309213,979.7526873862441
103,1005.359917371178,992.5974017092047,4.506656669698712,977.7952111076344
104,1005.988242423985,991.732334479518,5.078937919657012,980.1658493825844
105,1017.9445445910633,992.9200764005797,5.712244748852902,979.1916751198787
106,1022.2578518904999,992.4779448535079,7.249708360118875,981.9480614829748
107,1009.4582369589737,992.057121644624,5.854655942581638,975.4973151155112
108,1009.3626803145959,991.9916812512769,5.205124574044034,979.6876429936304
109,1019.759989521418,993.7331573747052,8.935067680323385,975.4197147797637
110,1007.7474000039135,991.0996982736464,7.007693587806628,973.0506072164897
111,1034.7702404588383,989.8477630318051,8.901681915187789,974.153210515087
112,1027.380530866872,991.8841279207945,9.504825409150191,970.2932737399912
113,1004.3091150849514,991.3452019378149,6.445984644415574,971.3522927906612
114,1021.0093849912979,991.7942294697201,6.852433613008716,979.7168782268467
115,1017.6063938734269,992.0673829302035,9.481666144659272,971.2187129167727
116,1052.0672784037022,993.6663064273453,12.127255241553742,974.1001926742244
117,1020.7413074179852,989.8062402516445,9.37220392037204,963.9861008982965
118,1033.2439030739893,994.3619603861786,11.162116805240949,972.0395777975855
119,1026.383621780189,992.5802918849067,10.395016590929966,965.2543562839104
120,1028.6519106651942,995.5444741411542,10.45192315103837,978.4368810827009
121,1011.5379072210128,993.1543621496699,8.113380695528413,977.3130995791496
122,1028.3791612882346,993.7149513873609,11.122934125077302,970.197689551339
123,1018.0900310823976,994.2188384202054,9.496779525081948,979.0970701919034
124,1025.1730148477661,995.4163520016107,10.741022699277586,978.1841790206302
125,1019.9166287175627,992.372224868007,8.90964703592828,977.7861879136462
126,1050.2059365815885,998.2623339055162,14.693947690472795,975.3117529189724
127,1021.8861447179167,994.5347569603266,10.823518783936334,977.7834782209595
128,1017.7114904804106,996.4083488815786,9.988728376391247,978.7121617236619
129,1056.476595675534,996.2362707427254,17.3725130429106,970.8072767717052
130,1028.4094486648507,994.0071878319511,12.21622532944187,974.3849730745303
131,1033.822482767375,995.2034672268134,12.818272840338315,974.4433475966009
132,1049.5071628594687,997.5998961769594,17.34104594202194,964.5168462749167
133,1055.8522149457092,994.8119299189151,19.01848168748671,968.9386280874274
134,1032.1751925557946,994.5369714268494,15.33910414546485,959.8449007627621
135,1056.4288192463357,998.3626634070664,18.93384703499515,968.7238832640784
136,1060.6050712695017,1004.0098069791711,23.88628929514149,953.8616978303359
137,1064.5848081246454,1005.5045290449565,26.986671443717558,963.6878779045416
138,1078.9451517495354,1009.0258898889106,24.110133396682926,969.4680819920941
139,1075.1224644567526,1012.276036539296,30.324712088259037,958.6481810896719
140,1064.0881011893364,1004.2390171953151,24.687663724192195,968.0377416799583
141,1106.3107136729009,1011.2448179837911,33.144415309303554,958.9374896755762
142,1100.26951514243,1009.3126779756121,29.464308225037783,972.4216655237157
143,1085.9566788549241,1021.1741016785325,26.22264907560283,968.8407931352809
144,1107.5782262315208,1010.9544815423582,29.52231676568553,954.328135546852
145,1104.2047400262986,1022.2761870478732,30.822933259709,978.3924086362961
146,1105.2108131282705,1021.9151487153077,34.579540824677075,965.4736426932122
147,1123.5259606215277,1016.8056009795462,38.52805608062092,953.1960263774035
148,1109.5353398240397,1019.5121071898709,36.08223671082548,968.276513150485
149,1111.1087568011574,1026.3608166627544,36.69123614844355,970.0480024849898
150,1120.8221538783346,1031.4003169224422,41.86964308947545,942.7406357593964
151,1126.4769467470055,1018.3350194196887,38.83650195850835,966.1494920675532
152,1150.0386947363972,1026.2454118417222,44.94794731175003,943.2069885018491
153,1094.759291185044,1026.097685899266,34.63108278910678,964.8468435073016
154,1137.3302676046744,1023.1331363192469,47.768278769767555,956.87252289598
155,1161.3703917059224,1030.2579155629371,51.22689043207373,956.0909017618505
156,1152.370346292853,1029.069841815618,46.7272284065619,949.3930581834478
157,1134.0099355661837,1034.6780081441177,51.226783889078426,951.0655449685534
158,1182.973251054797,1026.0534423009212,52.73418374715653,957.8576089086575
159,1179.3997935059965,1053.7982903880677,53.93045726720687,952.6559188681069
160,1149.3289690895763,1030.9663624623565,50.79208434296731,952.6195001186325
161,1193.4110240460095,1048.486892860723,58.27799656020865,957.944171048532
162,1167.2618588540547,1049.6606553970869,52.05696741266412,965.2751889995841
163,1164.5220621678832,1039.6868806130585,56.14433005673401,968.2285649909096
164,1201.2244772582221,1041.1400919645544,57.054803796665084,963.9896244139848
165,1158.6429704468815,1047.1237784684206,65.48276905264044,955.3763933605218
166,1198.0104126923786,1055.547036348443,60.08933041205762,964.0607410578539
167,1179.8894634802923,1050.121664012322,67.10702587036596,947.4267289884978
168,1232.2925711610137,1056.3114108977502,70.12432179640898,962.2032563659883
169,1176.489751703151,1030.9941882135292,62.36546198182919,963.4956569803065
170,1177.5604074114021,1052.1563586378775,67.62548446971579,962.8377124908093
171,1185.7975641548853,1060.8580726922985,77.20590022595593,937.8782470970336
172,1212.6274368179234,1058.4209510233234,73.74682028107375,938.1209502684244
173,1187.3834870061714,1022.9022380605631,61.73693007241886,886.1706239058182
174,1212.3817574281516,1071.3682068511357,79.48370107339231,963.5160369753045
175,1187.4210202924892,1074.5357442804789,62.56992965430131,956.7735817812785
176,1200.123444024442,1071.6652703260288,68.44541668945381,942.9396454167506
177,1213.7616394027511,1054.6509809559584,75.03590756882994,955.8136214525712
178,1222.6095402227807,1053.5161289203647,71.70475894726631,934.2844646559819
179,1217.4965497399076,1048.7643383853983,76.44512502767137,915.3505644415545
180,1222.6417997589792,1056.7984955639904,82.62033245665634,919.1775591181773
181,1219.2983121280217,1066.038503205469,79.82839359312503,948.4085479359683
182,1229.6060434949022,1051.9858030617331,74.694068435821,936.6413978588653
183,1231.393606847705,1071.812693119872,78.60899673470891,943.2857136368024
184,1258.0549802199691,1089.8970630091173,96.89147733992976,927.1468779538214
185,1242.8663796110054,1083.709876531896,85.12580520327487,925.5938952620623
186,1281.8848609343509,1088.78214121387,89.79302484653104,958.0880081639765
187,1284.6702157596155,1073.8621234933087,94.77648423707208,948.8893273073429
188,1259.345276874081,1092.6282653270089,89.36962028695325,958.2045590705778
189,1282.0977509779802,1116.340970259543,77.63733736780286,964.8297998620868
190,1266.749963135002,1081.5319090225842,101.05819250989518,855.1048654270173
191,1283.3137711644604,1105.8524997505124,99.17187695014795,962.4080975042501
192,1267.3154670666254,1069.2567213770476,102.22043548801635,868.8053675194599
193,1286.041818088489,1098.7143589834363,107.46086032944135,929.9719369825546
194,1285.2225466460188,1095.209019717304,108.62015875505027,906.1530737812069
195,1288.4642170227532,1121.2436366839286,109.01227416431179,863.8008480776859
196,1306.5191242388298,1100.0448793989997,122.28728780845431,920.4296364626713
