generation,max,mean,std,min
65,591.0970564923333,511.5788591846206,142.813076788664,111.67714862039959
66,589.0269492924559,433.89571636009117,190.22976915521366,90.53120300516225
67,588.7545772001691,445.2568919417508,275.3719634078022,-251.72108169846427
68,596.1953433223914,407.8915548331186,308.30565731171697,-367.2146545176109
69,595.3443367105748,564.063450836602,45.77802236361744,457.9181438791742
70,592.6575540208343,549.117490424574,49.882311186757505,438.5383587167207
71,592.3522166032798,561.12436821462,38.78830662037865,461.8530580512142
72,675.3104021542429,353.2904555472504,281.24643949620463,-206.0929199606768
73,591.4382985804809,539.8808817706619,94.69158968564442,224.83379153122533
74,595.9615597569496,388.52734020831696,212.48120641284476,55.60567917198977
75,672.7962636769627,504.31275569172783,157.3956593014423,58.5955281738154
76,679.1597477063923,440.32080687881086,215.9503888126849,-120.2608794457939
77,706.282929875367,353.4362866850192,400.41148303166324,-584.873084166022
78,696.449175345832,366.39986282272423,252.6224571342702,-14.778747522915573
79,699.9673131118491,470.57456381874607,190.71272795619603,57.02478470525518
80,1104.7813800304618,442.53409518104843,333.28326843151774,-132.72314154309782
81,722.5984994182267,557.757780968703,220.11762842751236,-179.11596983326632
82,865.3634539130248,607.0870259592779,173.8758743050208,120.92835309527504
83,1152.9715319226552,452.4300742775775,406.22551891304164,-586.3618275589838
84,1123.5233183676196,567.9505607059058,217.31253450636456,281.25774404775876
85,752.1760198877656,537.5234723195277,219.72345985670162,3.5523219800359485
86,841.9613637853007,563.3988830068632,248.81315804513687,-47.0994806073814
87,1160.7597501780474,518.9030638642125,408.9819957281561,-319.6542437353257
88,1189.918014076473,419.36668275832005,291.65398542213234,-36.921758128761105
89,737.8046605137127,540.8531267360756,176.4360772951205,113.05134550832514
90,1186.7986285704803,438.90597648386967,416.8540449979252,-297.213282915343
91,724.5850000546033,576.9169601969212,169.35136532008536,-11.750282317694765
92,721.7683994757712,450.4620157225468,235.66682066424303,-49.66717549257533
93,728.7878702407995,585.0843091052883,160.02543513597715,230.34886552288415
94,730.6624574869402,490.7147865779759,260.93734444514433,-12.859414104231755
95,734.343063935652,510.99525272578853,215.00062324869643,0.07027686861329036
96,744.4110291782046,602.9599770220186,172.21979671927832,53.308172939966504
97,740.5853162764253,444.30223347893974,248.96025175569693,51.613022735463986
98,736.3416214594373,569.943775711903,171.74584532642172,141.43409819702674
99,740.9089618184504,497.660397873375,253.27367975413767,-160.1036994777499
100,738.4816097832445,417.4493637785771,422.8290320191525,-639.2052211681904
101,731.9425510618506,598.3184160804001,155.49410679133834,273.29598147073096
102,742.3881345521211,633.5705459367514,135.0211044898032,291.6515647293772
103,740.2704990842535,556.1916632652977,203.17584765484327,119.52479548282966
104,727.6270764846686,537.2764935773067,207.76872078337618,88.45234747803998
105,739.2764924950266,439.53655664353056,328.95972686073594,-330.4795395861767
106,743.5305200876257,558.2849322775862,204.1147519303771,-17.208914318231336
107,739.6699354606812,428.1580622948598,354.03754009833426,-162.5201872167968
108,740.9343353924276,538.2848531162023,196.99141590710607,239.53723770099157
109,736.6604632291561,597.4971391498376,191.78139216127585,34.31163261309041
110,741.8095695872934,516.0919544588726,259.3305170111642,-43.913804269105974
111,733.8120911298192,483.7976035142726,298.617318271467,-64.79417807440439
112,743.1801049249033,581.1158596365276,183.09462197774735,196.30809803711452
113,739.800133318564,538.791759003536,289.8475972967238,-262.66711387582865
114,735.1949606966397,581.5035275387456,195.68536179118266,78.00587987344117
115,738.360899986627,566.7328909255191,226.53915020194054,9.550360142901821
116,745.880664018722,600.0722867319404,242.43452950708348,-239.4528164518464
117,740.7903931734911,549.7998956956314,286.6637755003074,-170.84305224142693
118,739.7122720819164,712.863625062251,41.105944763792564,564.2649694781016
119,741.3411243226245,660.6609502278353,120.8513585550512,303.66140159969854
120,720.8960286711815,463.2458869804049,297.6505999366599,-242.68760490558785
121,729.5787465186221,338.4189457698983,437.2947644746479,-631.5221355331981
122,726.1809264084719,237.80880872333947,332.0071275313736,-279.07461392826514
123,733.255334920575,349.51933051852455,406.27017740693276,-282.01437899588325
124,743.0456766629316,468.9846855455799,265.4177492983404,-49.14922731773527
125,735.832895135639,636.6174348919535,138.89122783604935,315.6044123548963
126,740.5828487000331,554.2438569267257,351.1101195787096,-414.6750668051358
127,738.0892535317982,555.8230175931195,207.13716002467942,49.87583442558922
128,735.7701263660967,554.6695496623532,240.66411495943743,26.72102801006088
129,737.9163028052492,449.71133265861926,298.3929372896234,-186.43532276571517
130,721.7504105840627,416.39461588664466,412.21049910537573,-736.8726748130556
131,744.5314812549263,428.73644126169614,357.73979729964094,-344.91167448498913
132,726.359584044811,534.6716669023562,246.27051859515012,-67.0151967531452
133,749.5680303465118,568.4458347724471,165.63711895087118,250.76900083276874
134,725.9093586732644,421.3914225852703,325.5900304301785,-289.24996071635303
135,749.0247007813247,406.7623728295131,381.7458560154151,-405.2759604026554
136,746.2484038785408,608.6261761377433,126.02028696135093,253.45624554485042
137,730.6137118068034,459.42399234716316,368.76818372049,-390.76412058680745
138,744.2896448081607,500.8955613979602,278.0258650331315,-41.024103976260065
139,739.04284290445,709.9164166062778,36.88526095897062,608.8490042223607
140,729.1785225171938,613.0494910569322,114.30758579942858,314.1952205880629
141,732.487487075512,506.56446734546057,263.8901368583932,-23.777135375801063
142,738.0003405223908,521.8763586614027,219.536670986352,110.30995853709337
143,746.8335908882951,598.44648647967,276.8404435111276,-103.3781849427747
144,738.0911830005173,589.2993484310124,225.60429820562564,94.01944847551299
145,738.770121355138,535.1449192578182,295.9183753786077,-162.87717088673608
146,842.2863141695713,678.1551642318725,132.08007068297843,338.5441672711529
147,744.1169995826364,594.915233317055,237.89826791736732,-132.81256313665247
148,739.1115931653653,661.2686394770875,182.37294550844283,-1.2930270129979378
149,745.2674875003429,636.7990444990313,207.48574040477942,-75.01798180705445
150,747.7806180074393,664.1514998496551,124.83277033723964,377.79739029959586
151,746.1767091685631,643.502977670303,152.89957531175364,242.6885506936139
152,743.5509812201079,627.3340886781516,136.47270559459835,272.77155301615295
153,738.069980523463,679.2525667680759,101.02067384480273,326.1804773184362
154,731.3866213610472,648.6304529041257,259.419497915687,-320.0384450884613
155,738.9975675910082,637.5113708499302,152.2368850427823,149.42940056510113
156,744.1815351146787,682.5358507757179,101.89758483879208,318.67693645394576
157,743.3170367679597,622.044387891383,167.23218777939462,222.3709444145491
158,730.6586267651265,599.8555361306827,185.5626231164841,182.8046348932082
159,723.4452784109958,497.0475891158604,306.4735158394785,-323.4962976944759
160,740.5887157051715,510.83452331891345,324.0501272675263,-242.12927471581133
161,743.1349139755291,268.9298776851637,459.54675197611715,-600.5816892832477
162,739.8883351234819,480.3040816687153,264.7181727424885,-108.60323016551835
163,733.9029801198219,319.0804200180564,323.729832223737,-390.5932037802189
164,734.5372994289653,466.97841359120696,366.31715892203533,-397.5646253490019
165,730.8731449844181,573.3659752866372,239.4891275180526,-61.361906409540374
166,732.488535029803,660.3521246181714,81.32458073731327,432.0257916767354
167,727.2693236804764,513.8027483200331,243.83106650099373,142.07224448510917
168,739.796846025956,590.5282704333084,293.26280152154874,-342.34777651499553
169,738.5017622588367,527.7037162056241,290.170796906682,-355.6284783593227
170,730.9797687790955,593.6641056402738,270.83745639719837,-198.06760314021807
171,729.1694406561388,589.9855645865208,198.9712063369669,21.00493647722032
172,728.9180016726456,474.5193489787493,293.92559560964355,-150.78571117401404
173,728.9660113747566,614.6985246552979,202.11158286920704,26.049576277488804
174,733.0316407528037,621.2912724401727,211.63178546112354,-39.921969264393816
175,734.9475325116642,555.2758463743831,242.33991415149748,28.371225887757745
176,727.8966417862591,622.8219485670487,175.7009299709333,194.6088092537776
177,741.9193345212531,684.4148132884333,92.59642775612348,345.9375855578424
178,737.3150030040457,625.2116867903129,227.63040351717316,-76.59065953518163
179,728.2666599680044,659.9772441594503,125.36023757779151,214.1923560095455
180,737.403378581726,629.4008410064391,313.7295342418358,-539.08472087987
181,736.1972961083105,715.1069521771032,25.00984747634724,632.2936028960187
182,739.2857723217573,718.8620297173545,10.960175346825206,694.3836921726644
183,738.2737250403245,649.7991127537521,186.10886172035356,123.65910521963914
184,739.4889637481377,707.7986619278267,67.91324527713299,455.4695440652988
185,733.7181121953962,711.0307496433594,45.81461969605188,540.858321418702
186,739.2089093545666,680.1746517825065,165.11943439963815,62.929042977288915
187,739.6039820473403,690.8624981175403,97.25483714082173,334.4910293831482
188,740.7491618501191,663.2645591678146,205.05687417322963,-97.18560532900477
189,739.7015853790934,697.509496348741,92.72441394633707,353.63333450670154
190,731.5649620891658,654.0779155476346,178.65758032073754,87.02876758039288
191,733.3031857392497,592.7299887675667,227.25478011381088,64.7532021116059
192,733.8130430249988,643.7192576526846,142.85383377725142,229.54900019355202
193,734.2221568933189,648.1530046908822,170.4832255883143,29.526627559534084
194,735.3732985888809,556.9044370407805,281.3668240787566,-312.26135407038856
195,738.2455231100295,657.5082970117509,170.40697732559215,208.24837921469253
196,744.8502041007292,602.1947686871173,330.4134810619531,-587.5481662807252
197,748.4421290491723,432.7880776361687,331.93983703592306,-318.6738167193696
198,734.1354590684739,567.5451101649412,249.5247994556114,-153.70146083814268
199,740.2271185898597,629.9679460876338,159.5577941217507,336.19428121852746
200,738.8458832570939,526.4138915088714,311.41722034741855,-404.5466796083377
201,744.5008828355238,555.2382088956543,210.66088870928564,204.2769923209388
202,740.4871672926769,648.0176780436125,150.12396942577223,126.63601856518036
203,741.8059687063964,573.6422558558758,311.4094318562792,-504.71344381046754
204,744.6298693914563,701.6823847034435,41.2689014857372,607.9152933545676
205,738.167154621721,535.8595911949939,241.02517076183594,64.2940029262869
206,741.5215598698277,648.813293710482,139.43012555353894,257.47748041141125
207,743.2092762622475,639.1861276241927,197.12484844529004,-21.665683930777895
208,731.8722070125333,657.3190406369597,120.79157256653593,287.1414424435234
209,738.7382735637208,512.0492938889911,309.6378123815302,-419.5771880050252
210,740.8857916719955,691.8813491354742,65.42335341873883,470.96449398880225
211,730.9587329135062,526.0036970904171,281.15581023435954,-367.2796648788101
212,738.9283552452595,595.5158682581095,221.82067426338614,19.72624388530038
213,736.7634653874812,532.5163356252639,250.16995923034807,-5.432351004667593
214,744.5416228103925,507.851004614641,233.7127861223514,51.47255656119416
215,737.1514116445876,584.1213773786832,186.91172831482277,230.86680801574917
216,734.42297888729,643.1717425437181,143.99163664225978,196.16524283374508
217,735.5721400078542,638.0473394753277,163.35825262628128,178.6317484079211
218,730.3551681905266,661.6088707548464,117.14576144184886,326.74295459189284
219,738.0683136683546,598.6027437516855,271.7924393674302,-334.24320494809785
220,732.5816860588777,600.0892078189939,151.0342317133588,268.6150144575525
221,743.7629295856466,620.8890278976548,212.31455963105677,-32.63186730526442
222,737.8697624097159,673.5701684993891,142.20666163973286,162.26065655074524
223,740.8701423282583,606.3598928875869,222.10886100458882,-119.42320470857506
224,735.7025966913378,626.6122358963311,148.7818380289799,277.7264764623405
