generation,max,mean,std,min
41,-22.46166874169955,-27.870389308969315,3.0506534528784885,-31.92947278169452
42,-20.913640131181907,-27.049390214285282,2.8517326054312493,-31.7273465172399
43,-21.73626407500928,-26.96117136785677,2.8733061777440025,-34.94944847509982
44,-20.532998211293197,-26.55351353894651,2.773305644825803,-31.329437010613702
45,-21.404433715247496,-28.474357800548702,2.9620071004122113,-33.6254119085081
46,-22.249631754505195,-28.40669115224705,2.6926238892043206,-32.94613428582545
47,-21.443314971996028,-28.586549525148996,3.0101477701664274,-34.33780995592427
48,-20.944413461125347,-27.970951411746917,2.3266022259465218,-32.70982953854138
49,-22.879141861350416,-27.590835592989,2.9392644335782476,-32.89187667124242
50,-22.3998072544399,-28.41434249834596,3.137500661101313,-33.934734962716
51,-21.198994247687637,-27.638663693124833,2.0303399329664775,-30.959102113094453
52,-19.306999541182318,-27.340921076186703,2.5270887125815653,-31.425755366602807
53,-24.209422430450736,-27.571172938553794,2.881801191621593,-36.82902261300006
54,-17.150738712381234,-27.835978001586707,3.6037191378343656,-35.19353337811468
55,-21.407603243934286,-27.907758419755115,2.7462701421463662,-33.27727886135786
56,-20.747643202247694,-27.169442763944286,2.967973949180119,-35.38665954589474
57,-20.027210675455827,-27.454519969472393,3.3866335506469967,-34.949587464179054
58,-20.681184916912084,-27.467229766397775,3.990455909414671,-38.52359182086402
59,-19.645328436286032,-26.815402873375817,3.319201535441393,-33.121531653509116
60,-19.132563694538113,-27.893569088052324,3.753527574566659,-34.89957613135654
61,-19.58519849648105,-26.413358844629613,3.0893241100479303,-31.344196407894845
62,-22.52857905981876,-27.525440183527465,2.437169849362324,-32.117293388322295
63,-24.124023443950165,-28.20684775787118,2.2548272949820474,-31.519400696663496
64,-22.051295717331527,-27.700622135907103,2.669143565587454,-33.54368681657612
65,-21.24745087805278,-27.98485965972452,2.96935765758654,-36.67700300486432
66,-22.12489840251887,-27.777562770587178,2.25006318052428,-32.541395891805834
67,-21.427874340298416,-28.095085859673706,2.658571196873639,-33.42149637751461
68,-21.979824150308133,-27.50829168318544,3.0477344770665686,-33.399010985583814
69,-19.42451188878815,-27.393825366400872,2.9806386870934376,-32.39088992114989
70,-21.542129287507066,-28.050818649538428,3.195771942995443,-34.6862455404678
71,-19.051424413985902,-27.527316925748586,3.1289796352413606,-32.69204323104655
72,-22.15487237260357,-27.571293795672155,3.0218373685197477,-33.31235390582306
73,-23.016110629041076,-28.387785237765094,3.005251823946415,-36.84914202154857
74,-20.369176374205924,-27.762412397476908,2.340384801615126,-31.996561256379824
75,-20.977480456876535,-27.626004745483858,2.8666768137750274,-32.3755773786453
76,-23.515136630179107,-27.365497642146515,2.7227052092019024,-33.96390561310635
77,-22.838062648100298,-27.665736128898722,2.3999869427755147,-33.544043557216845
78,-17.344676951293415,-26.772186705593093,2.8589556560871543,-30.877559323159687
79,-19.616373302806764,-27.614680479556235,4.152988078692691,-36.965838097113895
80,-21.394067523224766,-27.095173050836745,2.6288875913225382,-33.06618031749721
81,-18.72846717588092,-26.52972200968232,2.9684999016931792,-32.27655231466375
82,-20.612027820588537,-27.746537420026318,3.350617685814715,-34.33252562598417
83,-22.567117439653178,-28.015422023442984,2.787745862535465,-33.19319675055554
84,-21.68165446978985,-27.863844403517547,2.669883634251845,-33.10883316142105
85,-21.2478718493258,-27.107853661888203,2.1836842890515706,-31.511758605225275
86,-20.514046109039956,-27.733760820129937,3.3585391050735387,-32.73835425520148
87,-23.227779260843498,-27.601344784649594,2.4032364400428516,-31.483278379968887
88,-22.024420035765043,-27.94834904075907,2.4354606694039975,-32.936711133876265
89,-18.81315135537792,-27.37528894019325,3.6175842569539207,-35.488892496673586
90,-22.152807507345067,-28.111955247013768,2.9743427496059853,-33.78115669965971
91,-20.95737183934895,-27.432787965687776,3.1795067275035436,-32.83534630983807
92,-19.883051373612005,-27.83372199527513,2.9565236402352855,-32.77134898268511
93,-22.176930775061738,-27.836917662903613,2.9044979729626124,-35.160823253726925
94,-21.326097877718922,-27.396075027573442,2.6576837396125366,-33.01879856213422
95,-20.591447102777135,-28.58791572236778,3.3479779254306026,-36.2359416775007
96,-21.252626034916133,-27.58912186978726,2.5748725808404735,-34.805819824539114
97,-20.186795327076396,-27.676145642531917,3.324344194970582,-33.68374211826366
98,-18.896813367316827,-26.737462307939857,3.043539438318735,-33.22970336934849
99,-22.59098131977562,-28.163524227767894,3.3197161725048523,-36.533971964296526
100,-24.51504608838096,-28.361555313478927,2.6809845550633344,-34.953940496840694
101,-20.7572451084081,-28.189987275296495,3.6511646901708885,-36.95870217430246
102,-19.214922666552326,-27.545513536699108,3.7054640775910674,-34.841050117938536
103,-21.490345780608354,-27.15550038353481,3.3046012533682343,-33.60830466879146
104,-19.38643835612971,-27.89789182423969,3.021410162870621,-33.02369503852622
105,-20.026494191506565,-27.922443241412555,3.0994216470339464,-35.36142099790234
106,-21.754334819284587,-28.362713124021628,3.2329478815737582,-37.12489644853723
107,-18.375982436546728,-27.70419479005409,3.972594140711015,-36.86001916137921
108,-20.990817919268448,-27.604828795811656,2.9327615417070985,-33.849913062012824
109,-20.551012590817418,-28.271452622589756,3.5309198822919057,-34.52771471984668
110,-20.667170183598493,-27.13699814727875,3.03739447636619,-32.42035057724623
111,-22.547899399513238,-27.460059058828584,3.1672134012189233,-34.39816284784722
