generation,max,mean,std,min
0,96.10889469100238,68.14500449362177,14.876627095095014,41.804123796612245
1,106.31052569465915,70.68310085187427,14.97143188272853,40.948666080186
2,113.77156015583833,73.12803022327513,15.603275089653266,45.70987908088822
3,95.22027250720224,70.66316341808106,13.963098660907148,43.69054411973445
4,106.40087803056602,73.22333531862743,14.555032406431367,41.83959799354095
5,109.05327462569468,71.17990470453567,15.454949810861761,42.84611362992336
6,106.42417767443285,76.50400390768729,13.330602155216752,45.55152181183538
7,109.24693058688453,76.72615904891708,14.499542768641806,39.96706370379826
8,108.14954190375356,78.79620179373312,16.486844173114495,45.701504124518735
9,103.63610214176973,81.19987981282478,14.151707700084891,56.536096582241306
10,104.63989976409121,79.03803698367587,14.870319411322313,46.37938002685661
11,112.99353970278632,83.87095426487474,13.40212567938856,58.370611090277635
12,120.45989089891475,86.32144083037117,18.384964065142977,47.43718917475679
13,125.4663950331485,89.4761297603777,16.87759879923711,52.82622943698054
14,112.67878974795322,88.39574060661445,14.930238917929593,57.57112882069333
15,117.83814682504502,90.35481785298434,14.673471889419892,57.49154627892045
16,143.10562811725146,98.85664917140208,15.907184056989385,72.52732758279073
17,132.73466643043142,105.51040385815568,15.681665677251042,69.69901904556646
18,143.65525762185038,108.05757655596219,17.070287643097927,62.27984936113737
19,145.82449772783275,110.49139813678394,16.869843056711403,79.27631020859968
20,152.22552005300935,122.70820422256327,15.419161112209785,85.86655905203773
21,184.64911132449325,119.51188461417014,21.86095015022588,51.96052242337538
22,162.57589034873178,111.43443316370704,21.82305550477045,66.08514048303144
23,202.7815278687131,128.3710907200747,28.90043911313063,70.64246956328137
24,203.1109993109273,124.98219560983475,30.248673350937516,63.16278312341999
25,187.9143206911792,131.8630663500935,26.568134243882,83.27302103919268
26,272.3082793145418,134.96142489920175,34.08601139906152,58.59763637667212
27,203.7549634168866,133.51451180922913,26.505352589136876,84.15843687556344
28,184.5131676818845,128.83938502882546,24.714355256206588,82.99184691910102
29,200.12052467446807,139.49431193921185,34.03192963767119,82.10648902843366
30,244.95163963100487,133.4391592626173,37.61541871537365,71.5690380734354
31,279.7896579806578,147.7335778200771,48.66128853576262,69.98045059875167
32,196.20423057317544,139.39362760146187,35.64963206997314,81.30161481752752
33,239.4206290129313,137.98561738358737,34.19377059429203,82.35470195347868
34,235.48971809360825,139.75075834328655,37.118848536156676,70.7312446953157
35,258.29135733626026,147.91092891838085,43.02206368495568,58.499726646630016
36,244.9285415538347,153.77852082602902,45.499876984972396,84.32011071479296
37,231.8215860656287,158.52350035281444,40.151993993466796,92.6791633050247
38,253.21266611097417,167.2771337142965,44.463498444423614,84.09362432530712
39,223.09830755036037,143.74558239424542,44.88130323735532,65.67739174295885
